Team No,Judges,TECHNOLOGY,DESIGN ,PRESENTATION,COLLABORATION,IMPLEMENTATION,Total ,Collective Total
110,Smt. Satya Kiranmai,2,2,2,2,2,2,1.7
, Mr.Madhukar,2,1,2,1,1,1.4,
,,,,,,,,
67,Smt. Satya Kiranmai,4,5,4,4,4,4.2,4.2
, Mr.Madhukar,4,4,4,5,4,4.2,
,,,,,,,,
123,Smt. Satya Kiranmai,2,1,1,1,1,1.2,1.2
, Mr.Madhukar,2,1,1,1,1,1.2,
,,,,,,,,
147,Smt. Satya Kiranmai,3,2,2,3,3,2.6,2.6
, Mr.Madhukar,3,2,3,2,3,2.6,
,,,,,,,,
186,Smt. Satya Kiranmai,4,4,4,4,5,4.2,4.4
, Mr.Madhukar,4,5,4,5,5,4.6,
,,,,,,,,
50,Smt. Satya Kiranmai,4,5,4,5,5,4.6,4.4
, Mr.Madhukar,4,4,4,5,4,4.2,
,,,,,,,,
97,Smt. Satya Kiranmai,4,4,3,3,4,3.6,3.6
, Mr.Madhukar,4,3,3,4,4,3.6,
,,,,,,,,
103,Smt. Satya Kiranmai,3,3,3,3,3,3,3
, Mr.Madhukar,3,3,3,3,3,3,
,,,,,,,,
177,Smt. Satya Kiranmai,3,3,3,3,3,3,3.1
, Mr.Madhukar,3,4,3,3,3,3.2,
