team no,raw_avg_norm,indiv_norm_avg,raw_avg_norm_cdf_scaled,indiv_norm_avg_cdf_scaled,raw_avg
15,1.2956648706446852,1.2243827641203109,4.512272577080345,4.447980329413449,3.5
171,1.1778403104933601,1.1233816303563646,4.402849312839972,4.346811379717339,3.4
117,1.1854461714779068,1.1178537975846128,4.410397286155438,4.340926398733941,3.4
182,0.7673889577644344,0.7408755775939873,3.892874270481912,3.853077788104912,3.0
95,0.7635860272721611,0.7230575908135308,3.887215053553131,3.8258887430059096,3.0
137,0.3455288135586884,0.3241490507683498,3.175757868761708,3.135437017973422,2.5999999999999996
77,-0.27775407651924683,-0.2536840129908975,1.953002865259691,1.9993492147517462,2.0
166,-0.8022270589072242,-0.7530167803974732,1.0560540667288434,1.1285995760795575,1.5
163,-0.7984241284149507,-0.7755738222745502,1.0615610148316472,1.0950016545948045,1.5
122,-1.0112556657639604,-0.9686283670216203,0.7797351982283343,0.8318266116830673,1.2999999999999998
135,-1.3228971108029282,-1.2513987142763074,0.4646739906935968,0.5269726153550627,1.0
145,-1.3228971108029282,-1.2513987142763074,0.4646739906935968,0.5269726153550627,1.0
